Ime igralca;Minut/tekmo;Točke;Skoki;Podaje;FG%;FG3%;FT%
A,J, Lawson;12,8;6,7;2,6;0,5;0,51;0,451;0,619
AJ Green;10,7;4,7;1,4;0,7;0,413;0,402;1,0
AJ Griffin;19,5;8,9;2,1;1,0;0,465;0,39;0,894
AJ Reeves;10,2;4,5;1,5;0,0;0,5;0,5;0,0
Aamir Simms;4,1;1,3;0,0;0,0;0,333;0,0;1,0
Aaron Gordon;30,2;16,3;6,6;3,0;0,564;0,347;0,608
Aaron Henry;9,2;2,0;1,3;0,3;0,375;0,0;0,0
Aaron Holiday;13,4;3,9;1,2;1,4;0,418;0,409;0,844
Aaron Nesmith;24,9;10,1;3,9;1,3;0,418;0,359;0,831
Aaron Wheeler;7,5;3,0;1,5;0,0;0,667;0,0;0,8
Aaron Wiggins;18,8;7,1;3,0;1,1;0,52;0,406;0,833
Abdul Gaddy;22,4;3,5;2,0;4,5;0,231;0,143;0,0
Abu Kigab;14,5;7,5;5,0;2,0;0,5;0,0;0,333
Ade Murkey;16,1;4,7;2,8;1,0;0,345;0,263;1,0
Admiral Schofield;12,5;4,4;1,8;0,8;0,45;0,341;0,9
Adonis Arms;14,3;9,4;3,2;1,8;0,548;0,583;0,6
Ahmad Caver;16,2;5,2;3,2;2,6;0,476;0,0;0,545
Akoldah Gak;8,4;1,0;1,5;0,5;1,0;0,0;0,0
Al Horford;30,5;9,8;6,2;3,0;0,476;0,446;0,714
Alec Burks;22,0;12,8;3,1;2,2;0,436;0,414;0,814
Aleem Ford;18,0;5,0;3,0;0,7;0,235;0,214;1,0
Aleksej Pokusevski;20,6;8,3;4,8;1,9;0,431;0,362;0,667
Alessandro Pajola;20,9;2,5;1,8;4,5;0,231;0,25;0,667
Alex Barcello;8,9;3,3;1,7;2,0;0,364;0,333;0,0
Alex Caruso;23,5;5,6;2,9;2,9;0,455;0,364;0,808
Alex Len;6,2;1,7;2,3;0,5;0,533;0,0;0,688
Alex Morales;13,5;5,0;2,4;1,0;0,417;0,5;0,333
Alex O'Connell;15,6;5,6;4,4;0,6;0,375;0,182;1,0
Alize Johnson;7,4;1,8;2,5;0,3;0,5;0,0;0,5
Alondes Williams;17,1;3,8;2,2;2,2;0,32;0,0;0,875
Alperen Sengun;28,9;14,8;9,0;3,9;0,553;0,333;0,715
Alpha Kaba;11,8;4,8;3,4;0,2;0,647;0,0;0,333
Amadou Sow;13,6;4,3;3,3;1,3;0,444;0,5;0,75
Amar Sylla;18,9;10,2;4,0;0,4;0,71;0,333;0,75
Amauri Hardy;13,2;8,3;2,3;1,7;0,478;0,25;1,0
Aminu Mohammed;11,9;3,7;2,7;0,8;0,5;0,5;0,556
Amir Coffey;12,5;3,4;1,1;1,1;0,386;0,275;0,778
Andre Drummond;12,7;6,0;6,6;0,5;0,606;0,0;0,536
